"ComplexID","Complex_Name","NUS","NQS","Coverage","Subunits","GO_terms","PubMed.ID","FC C2/C1","FC C3/C1","FC C4/C1","FC C5/C1","FC C6/C1","Noise"
6486,"CUL4A-DDB1-DTL complex",3,2,66.67,"Q13619, Q16531, Q9NZJ0","GO:0006974;GO:0030163",16861906,1.09,1.058,1.123,1.016,-1.025,1
6487,"CUL4B-DDB1-TLE2 complex",3,2,66.67,"Q04725, Q13620, Q16531","GO:0010498",17041588,1.039,1.088,1.053,-1.092,-1.139,1
6488,"CUL4A-DDB1-EED complex",3,2,66.67,"O75530, Q13619, Q16531","GO:0010498;GO:0031060",17041588,1.09,1.058,1.123,1.016,-1.025,1
6489,"CUL4A-DDB1-WDR5 complex",3,3,100,"P61964, Q13619, Q16531","GO:0031060;GO:0010498",17041588,1.07,1.434,1.611,1.279,1.141,0.111
6490,"CUL4B-DDB1-WDR26 complex",3,3,100,"Q13620, Q16531, Q9H7D7","None",17041588,1.008,-1.165,-1.235,-1.428,-1.191,1
6491,"CUL4A-DDB1-RBBP5 complex",3,2,66.67,"Q13619, Q15291, Q16531","None",17041588,1.09,1.058,1.123,1.016,-1.025,1
6492,"CUL4A-DDB1-WDR5B complex",3,2,66.67,"Q13619, Q16531, Q86VZ2","None",17041588,1.09,1.058,1.123,1.016,-1.025,1
6493,"CUL4A-DDB1-WDR57 complex",3,3,100,"Q13619, Q16531, Q96DI7","None",17041588,1.056,1.203,1.201,1.074,-1.015,0.799
6494,"CUL4A-DDB1-WDR61 complex",3,3,100,"Q13619, Q16531, Q9GZS3","None",17041588,1.022,1.141,1.163,1.081,1.046,0.92
6495,"CUL4B-DDB1-GRWD1 complex",3,3,100,"Q13620, Q16531, Q9BQ67","None",17041588,-1.017,-1.048,-1.119,-1.289,-1.356,0.389
6496,"TOM subcomplex (TOMM20, TOMM22), mitochondrial",2,1,50,"Q15388, Q9NS69","GO:0005739;GO:0098799;GO:0005741;GO:0071806;GO:0006839;GO:0006626",10982837,NA,NA,NA,NA,NA,NA
6497,"TOM complex (TOMM5, TOMM6, TOMM7, TOMM20, TOMM22, TOMM40, TOMM70), mitochondrial",7,4,57.14,"O94826, O96008, Q15388, Q8N4H5, Q96B49, Q9NS69, Q9P0U1","GO:0005739;GO:0005741;GO:0005742;GO:0070096;GO:0006626;GO:0045041;GO:0006839;GO:0065003",18331822,-1.028,1.085,1.254,1.109,1.066,0.415
6498,"TOM subcomplex (TOMM7, TOMM22, TOMM40), mitochondrial",3,2,66.67,"O96008, Q9NS69, Q9P0U1","GO:0005741;GO:0098799;GO:0005739;GO:0071806;GO:0006626;GO:0006839",12198123,-1.011,1.092,1.249,1.13,1.091,0.797
6499,"SOS1-ABI1-EPS8 complex",3,2,66.67,"Q07889, Q12929, Q8IZP0","GO:0007264;GO:0007169;GO:0031532",14565974,-1.047,-1.225,-1.458,-1.726,-1.789,0.188
6501,"SOS1-ABI1-EPS8L1 complex",3,1,33.33,"Q07889, Q8IZP0, Q8TE68","GO:0031532;GO:0007264;GO:0007169",14565974,NA,NA,NA,NA,NA,NA
6503,"SOS1-ABI1-EPS8L2 complex",3,1,33.33,"Q07889, Q8IZP0, Q9H6S3","GO:0031532;GO:0007264;GO:0007169",14565974,NA,NA,NA,NA,NA,NA
6504,"SOS1-ABI1-EPS8L3 complex",3,1,33.33,"Q07889, Q8IZP0, Q8TE67","None",14565974,NA,NA,NA,NA,NA,NA
6507,"SERCA-PLN complex",2,1,50,"P16615, P26678","GO:0006816;GO:1901897;GO:0003697;GO:0035198",26292938,NA,NA,NA,NA,NA,NA
6509,"pERK-vimentin-KPNA2 complex",3,3,100,"P08670, P27361, P52292","GO:0005737;GO:0002347;GO:0016477",25728791,-1.184,-2.05,-2.174,-3.024,-3.432,0.313
6510,"ILK-SERCA2A-PLN complex",3,2,66.67,"P16615, P26678, Q13418","GO:1901897;GO:0030018",25208486,-1.025,-1.03,1.171,1.375,1.36,1
6512,"ILK-HSP90-CDC37 complex",3,3,100,"P07900, Q13418, Q16543","None",15882985,-1.051,-1.098,-1.17,-1.252,-1.234,0.132
6513,"MAN1-SMAD2 complex",2,2,100,"Q15796, Q9Y2U8","GO:0007179",23779087,-1.096,-1.09,-1.133,-1.252,-1.289,0.977
6516,"SLN-PLN-SERCA2A complex",3,1,33.33,"O00631, P16615, P26678","GO:1901894",24358354,NA,NA,NA,NA,NA,NA
6517,"SERCA2a-alphaKAP-CaM-CaMKII complex",4,2,50,"P0DP23, P16615, P52294, Q9UQM7","None",19671701,-1.015,-1.033,1.205,1.478,1.38,1
6521,"AKT1-FANCI-FANCD2-PHLPP1-PHLPP2-USP1-WDR48 complex",7,2,28.57,"O60346, O94782, P31749, Q6ZVD8, Q8TAF3, Q9BXW9, Q9NVI1","None",27097374,-1.08,1.056,-1.153,-1.165,-1.183,1
6523,"Ubiquilin-VCP-erasin complex",3,3,100,"P55072, Q92575, Q9UMX0","GO:0036503;GO:0034976",19822669,1.05,-1.168,-1.259,-1.226,-1.307,0.996
6532,"TSC2-HERC1 complex",2,1,50,"P49815, Q15751","GO:0031929",16464865,NA,NA,NA,NA,NA,NA
6536,"REEP5-ZFYVE27 complex",2,1,50,"Q00765, Q5T4F4","GO:0005783;GO:0016192;GO:0071788;GO:0071787",24668814,NA,NA,NA,NA,NA,NA
6538,"VAPA -ZFYVE27 complex",2,1,50,"Q5T4F4, Q9P0L0","GO:0005783;GO:0016192;GO:0071787;GO:0071788",24668814,NA,NA,NA,NA,NA,NA
6540,"GPX1-SBP1 complex",2,2,100,"P07203, Q13228","GO:0045454",20530237,1.075,1.532,1.578,1.266,1.069,1
6550,"CUL4B-DDB1-TLE1 complex",3,2,66.67,"Q04724, Q13619, Q16531","GO:0010498",17041588,1.09,1.058,1.123,1.016,-1.025,1
6552,"KIF5B -ZFYVE27 complex",2,1,50,"P33176, Q5T4F4","GO:0005783;GO:0071787;GO:0071788;GO:0016192",21976701,NA,NA,NA,NA,NA,NA
6553,"CUL4B-DDB1-TLE3 complex",3,3,100,"Q04726, Q13620, Q16531","GO:0010498",17041588,-10.049,-10.077,1.055,-10.919,-12.245,1
6559,"KIF5A-RAB11B-ZFYVE27 complex",3,1,33.33,"Q12840, Q15907, Q5T4F4","GO:0005783;GO:0071787;GO:0071788;GO:0016192",21976701,NA,NA,NA,NA,NA,NA
6562,"RAB11B-ZFYVE27 complex",2,1,50,"Q15907, Q5T4F4","GO:0005783;GO:0016192",21976701,NA,NA,NA,NA,NA,NA
6563,"SURF4-ZFYVE27 complex",2,1,50,"O15260, Q5T4F4","None",21976701,NA,NA,NA,NA,NA,NA
6565,"RTN3-ZFYVE27 complex",2,1,50,"O95197, Q5T4F4","GO:0005783;GO:0016192",21976701,NA,NA,NA,NA,NA,NA
6566,"VAPB-ZFYVE27 complex",2,1,50,"O95292, Q5T4F4","GO:0005783;GO:0016192",21976701,NA,NA,NA,NA,NA,NA
6568,"3M core complex",3,2,66.67,"O75147, Q14999, Q9H0W5","GO:0000226;GO:0005813;GO:0005737",24793695,-1.105,20.708,25.666,54.08,60.76,0.334
6577,"3M complex",7,3,42.86,"O75147, P04637, P62877, Q14999, Q8IWT3, Q8N3Y1, Q9H0W5","GO:0000226",24793695,-1.105,20.708,25.666,54.08,60.76,0.386
6587,"CAP-cbl-flotilin complex",3,3,100,"O75955, P22681, Q9BX66","GO:0046324",11001060,-1.083,-1.329,-1.29,-1.379,-26.316,0.96
6591,"Hsp90-p23 complex",2,2,100,"P07900, Q15185","None",16403413,1.02,1.023,1.038,1.013,-1.002,1
6592,"c-Abl-CAS-Abi1 complex",3,2,66.67,"P00519, P56945, Q8IZP0","GO:0006940",23740246,-1.245,-1.391,-1.18,-1.295,-1.677,0.434
6599,"CTNND1-GLIS2 complex",2,1,50,"O60716, Q9BZE0","GO:0005634;GO:0006355",17344476,NA,NA,NA,NA,NA,NA
6603,"ANKRA2-CCDC8-OBSL1-CUL7 complex",4,2,50,"O75147, Q14999, Q9H0W5, Q9H9E1","None",25752541,-1.105,20.708,25.666,54.08,60.76,0.334
6609,"ATL2-ZFYVE27 complex",2,1,50,"Q5T4F4, Q8NHH9","GO:0005783;GO:0071787;GO:0071788;GO:0016192",23969831,NA,NA,NA,NA,NA,NA
6613,"ATL3-ZFYVE27 complex",2,1,50,"Q5T4F4, Q6DD88","GO:0005783;GO:0071787;GO:0071788;GO:0016192",23969831,NA,NA,NA,NA,NA,NA
6615,"RNT2-SPAST complex",2,1,50,"O75298, Q9UBP0","GO:0007029;GO:0005874",22232211,NA,NA,NA,NA,NA,NA
6618,"RhBG-kAE1-ankyrin-G complex",3,1,33.33,"P02730, Q12955, Q9H310","None",25616663,NA,NA,NA,NA,NA,NA
6619,"MGAT1-NGT complex",2,1,50,"P26572, Q9Y2D2","GO:1990569;GO:0000139",25944901,NA,NA,NA,NA,NA,NA
6620,"MGAT1-SLC35A2(splice variant 2) complex",2,1,50,"P26572, P78381-2","GO:0072334;GO:0000139",25944901,NA,NA,NA,NA,NA,NA
6621,"NEK2-SAV1-STK3 complex",3,1,33.33,"P51955, Q13188, Q9H4B6","GO:0051297;GO:0051225;GO:0035329;GO:0051299",21076410,NA,NA,NA,NA,NA,NA
6622,"MGAT2-SLC35A3 complex",2,1,50,"Q10469, Q9Y2D2","GO:1990569;GO:0000139",25944901,NA,NA,NA,NA,NA,NA
6623,"MGAT2-SLC35A2(splice variant 2) complex",2,1,50,"P78381-2, Q10469","GO:0072334;GO:0000139",25944901,NA,NA,NA,NA,NA,NA
6634,"WDR20-USP12-UAF1 complex",3,1,33.33,"O75317, Q8TAF3, Q8TBZ3","GO:0016579",20147737,NA,NA,NA,NA,NA,NA
6635,"WDR20-USP46-UAF1 complex",3,1,33.33,"P62068, Q8TAF3, Q8TBZ3","GO:0016579",20147737,NA,NA,NA,NA,NA,NA
6636,"USP12-UAF1 complex",2,1,50,"O75317, Q8TAF3","GO:0005634;GO:0016579",19075014,NA,NA,NA,NA,NA,NA
6637,"USP46-UAF1 complex",2,1,50,"P62068, Q8TAF3","GO:0016579;GO:0005634",19075014,NA,NA,NA,NA,NA,NA
6639,"CCC-Wash (WASH1, FAM21C) complex",15,10,66.67,"A8K0Z3, O60826, Q567U6, Q7Z3J2, Q7Z4G1, Q86VX2, Q86X83, Q8N668, Q9GZQ3, Q9H0A8, Q9NX08, Q9P000, Q9UBI1, Q9Y4E1, Q9Y6G5","GO:0031941;GO:0035459;GO:0071203;GO:0055070",25355947,1.005,-1.047,-1.095,-1.867,-2.527,0.87
6644,"CCDC22-COMMD1-CUL2 complex",3,3,100,"O60826, Q13617, Q8N668","GO:0016567",23563313,1.001,-1.021,-1.073,-1.189,-14.871,1
6645,"CCC complex",13,10,76.92,"O60826, Q567U6, Q7Z3J2, Q7Z4G1, Q86VX2, Q86X83, Q8N668, Q9GZQ3, Q9H0A8, Q9NX08, Q9P000, Q9UBI1, Q9Y6G5","GO:0005769;GO:0055070",25355947,1.005,-1.047,-1.095,-1.867,-2.527,0.87
6646,"SMAD2-SMAD4-WWTR1 complex",3,1,33.33,"Q13485, Q15796, Q9GZV5","GO:0006351",18568018,NA,NA,NA,NA,NA,NA
6651,"WWTR1-YAP1 complex",2,1,50,"P46937, Q9GZV5","GO:0006351",16332960,NA,NA,NA,NA,NA,NA
6655,"CTNNB1-TBX5-YAP1 complex",3,2,66.67,"P35222, P46937, Q99593","GO:0006351",23245941,1.123,-1.012,-1.158,-1.468,-1.604,0.651
6657,"ATAC complex, GCN5-linked",10,2,20,"O75478, O75528, P61964, Q01658, Q8IYH5, Q92830, Q96ES7, Q9H8E8, Q9NS73, Q9ULM3","GO:0044154;GO:0005634",26468280,1.05,1.445,1.527,1.186,1.023,0.393
6658,"CCDC22-COMMD8-CUL1 complex",3,3,100,"O60826, Q13616, Q9NX08","GO:0008384;GO:0016567",23563313,-1.055,-1.073,-19.122,-1.288,-1.234,0.405
6659,"Ubiquitin E3 ligase (CCDC22, COMMD8, CUL3)",3,3,100,"O60826, Q13618, Q9NX08","GO:0016567;GO:0031461",23563313,-1.056,-1.08,-23.432,-1.294,-1.239,0.401
6664,"STAGA complex, SPT3-linked",19,1,5.26,"O15265, O75486, O75528, O75529, O94864, Q12962, Q14CW9, Q16514, Q16594, Q86TJ2, Q8NEM7, Q92830, Q96BN2, Q96ES7, Q9H0E3, Q9NPA8, Q9UPT9, Q9Y4A5, Q9Y6J9","GO:0016573;GO:0005634",18838386,NA,NA,NA,NA,NA,NA
6665,"ATAC complex, YEATS2-linked",14,4,28.57,"O43318, O75478, O75528, P61964, Q01658, Q14157, Q8IYH5, Q92830, Q96ES7, Q9H8E8, Q9NR33, Q9NRF9, Q9NS73, Q9ULM3","GO:0005634;GO:0016573",18838386,1.047,-1.221,-1.165,-1.188,-1.297,0.561
6671,"PI4K2A-WASH complex",14,13,92.86,"O00203, P46934, P47756, P50570, P52907, Q00610, Q12768, Q2M389, Q5T1M5, Q641Q2, Q92888, Q92974, Q96N67, Q9BTU6","GO:0005769;GO:0071203",23676666,-1.025,-1.067,-1.102,-1.232,-1.339,0.072
6675,"PI4K2A-PRDX1 complex",2,2,100,"Q06830, Q9BTU6","GO:0016209;GO:0052742",23676666,-1.096,1.087,1.045,1.15,1.321,0.687
6676,"WWTR1-YWHAQ complex",2,1,50,"P27348, Q9GZV5","GO:0035329;GO:0006351",21555462,NA,NA,NA,NA,NA,NA
6680,"CTNNB1-GLIS2 complex",2,1,50,"P35222, Q9BZE0","GO:0060070",17289029,NA,NA,NA,NA,NA,NA
6683,"SYNE2-TMEM67 complex",2,1,50,"Q5HYA8, Q8WXH0","GO:0060271;GO:0031532",19596800,NA,NA,NA,NA,NA,NA
6688,"GLIS2-TRIM32 complex",2,1,50,"Q13049, Q9BZE0","GO:0005634;GO:0006351",24500717,NA,NA,NA,NA,NA,NA
6689,"DTNBP1-TRIM32 complex",2,1,50,"Q13049, Q96EV8","GO:0016567",19349376,NA,NA,NA,NA,NA,NA
6690,"NEDD4-PI4K2A complex",2,1,50,"P46934, Q9BTU6","GO:0052742;GO:0031625",23676666,NA,NA,NA,NA,NA,NA
6691,"CLTC-PI4K2A complex",2,2,100,"Q00610, Q9BTU6","GO:0030133;GO:0052742;GO:0030276",23676666,-1.048,1.027,-1.022,-1.085,-1.033,1
6692,"BLOC1S6-PI4K2A complex",2,1,50,"Q9BTU6, Q9UL45","GO:0052742;GO:0031082",23676666,NA,NA,NA,NA,NA,NA
6693,"DVL1-PI4K2A complex",2,1,50,"O14640, Q9BTU6","GO:0052742",19561074,NA,NA,NA,NA,NA,NA
6701,"DVL1-PIP5K1B-PI4K2A complex",3,1,33.33,"O14640, O14986, Q9BTU6","GO:0052742",19561074,NA,NA,NA,NA,NA,NA
6702,"CXCR2-NHERF1-PLC-beta-3 complex",3,2,66.67,"O14745, P25025, Q01970","GO:0008283;GO:0070098",23544174,1.021,-1.112,-1.265,-1.43,-1.564,0.112
6703,"TBCD-tubulin(alpha)-tubulin(beta) complex",3,1,33.33,"P07437, Q71U36, Q9BTW9","GO:0000226",28126905,NA,NA,NA,NA,NA,NA
6706,"CAPN1-HSP90AB1 complex",2,2,100,"P07384, P08238","GO:0006508",25575026,1.113,1.042,1.124,1.199,1.228,0.826
6707,"PIP5K1B-PI4K2A complex",2,1,50,"O14986, Q9BTU6","GO:0052742",19561074,NA,NA,NA,NA,NA,NA
6710,"Calpain 1",2,2,100,"P04632, P07384","GO:0006508",8886026,1.106,1.075,1.074,1.085,1.12,1
