"ComplexID","Complex_Name","NUS","NQS","Coverage","Subunits","GO_terms","PubMed.ID","FC C2/C1","FC C3/C1","FC C4/C1","FC C5/C1","FC C6/C1","Noise"
1,"BCL6-HDAC4 complex",2,1,50,"P41182, P56524","GO:0006265;GO:0045892;GO:0051276;GO:0030183;GO:0005634;GO:0016575",11929873,NA,NA,NA,NA,NA,NA
10,"Condensin I complex",5,4,80,"O95347, Q15003, Q15021, Q9BPX3, Q9NTJ3","GO:0000279;GO:0030261;GO:0007059;GO:0051276;GO:0005694;GO:0000278",11136719,-1.202,-2.131,-3.997,-20.951,-16.757,0.057
12,"BLOC-2 (biogenesis of lysosome-related organelles complex 2)",3,1,33.33,"Q86YV9, Q969F9, Q9UPZ3","GO:0007032;GO:0007040;GO:0007033",15030569,NA,NA,NA,NA,NA,NA
15,"NCOR complex",6,1,16.67,"O15379, O60907, O75376, Q13227, Q92828, Q9BZK7","GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634",12628926,NA,NA,NA,NA,NA,NA
23,"BLOC-1 (biogenesis of lysosome-related organelles complex 1)",8,4,50,"O95295, P78537, Q6QNY0, Q6QNY1, Q8TDH9, Q96EV8, Q9NUP1, Q9UL45","None",15102850,-1.008,-1.001,1.074,1.08,1.299,0.785
27,"Arp2/3 protein complex",7,7,100,"O15143, O15144, O15145, O15511, P59998, P61158, P61160","GO:0005885;GO:0030833",9359840,-1.018,-1.06,-1.177,-1.383,-1.483,0.046
29,"PA28gamma complex",1,1,100,"P61289","GO:0043161;GO:0005515;GO:0016504",9325261,NA,NA,NA,NA,NA,NA
30,"PA28 complex",2,2,100,"Q06323, Q9UL46","GO:0043161;GO:0006511;GO:0051098;GO:0005515;GO:0016504;GO:0005737",9325261,1.325,1.572,1.663,1.697,1.724,0.05
32,"PA700 complex",20,20,100,"O00231, O00232, O00233, O00487, O43242, O75832, P17980, P35998, P43686, P48556, P51665, P55036, P62191, P62195, P62333, Q13200, Q15008, Q16401, Q99460, Q9UNM6","GO:0043161;GO:0005515;GO:0016504",9148964,-1.002,1,1.028,1.078,1.117,0.126
36,"AP1 adaptor complex",8,4,50,"O43747, O75843, P56377, P61966, Q10567, Q96PC3, Q9BXS5, Q9Y6Q5","GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133",9733768,-1.032,-1.102,-1.213,-1.274,-2.405,0.198
45,"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)",4,1,25,"P49768, Q92542, Q96BI3, Q9NZ42","GO:0016485;GO:0051090;GO:0007219;GO:0005886;GO:0005794",15274632,NA,NA,NA,NA,NA,NA
49,"DNMT3B complex",7,2,28.57,"O60264, O95239, O95347, Q13547, Q96ST3, Q9NTJ3, Q9UBC3","GO:0006306;GO:0006265;GO:0000279;GO:0007067;GO:0007059;GO:0051276;GO:0005694",15148359,-1.191,-1.617,-2.351,-3.812,-5.997,0.023
50,"RAB5A-RABEP1-RABGEF complex",3,3,100,"P20339, Q15276, Q9UJ41","GO:0006897;GO:0061025;GO:0034058",9323142,1.095,-1.112,1.011,1.023,-1.075,1
55,"HDAC4-ERK1 complex",2,2,100,"P27361, P56524","GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634",11114188,-1.157,14.895,14.677,17.559,24.649,1
57,"HDAC4-ERK2 complex",2,2,100,"P28482, P56524","GO:0006265;GO:2001141;GO:0006355;GO:0000165;GO:0051276;GO:0005634",11114188,-1.075,16.21,16.695,20.975,30.523,1
58,"SMRT complex",5,2,40,"O15379, O60907, Q13227, Q9BZK7, Q9Y618","GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276;GO:0005634",12628926,-1.202,-1.241,-1.235,-1.544,-1.65,0.6
59,"AP3 adaptor complex",7,4,57.14,"O00203, O14617, P53677, P59780, Q13367, Q92572, Q9Y2T2","GO:0006886;GO:0006605;GO:0015031;GO:0006892;GO:0006897;GO:0005773;GO:0005764;GO:0016192",9151686,1.021,-1.037,-1.065,-1.149,-1.215,0.11
61,"Mi2/NuRD complex",7,5,71.43,"O94776, O95983, Q09028, Q13547, Q14839, Q16576, Q92769","GO:0006265;GO:0051276;GO:0005634;GO:0006357",9790534,1.016,-1.061,-1.151,-1.367,-1.671,0.026
62,"MeCP1 complex",8,6,75,"O94776, O95983, Q09028, Q13547, Q14839, Q16576, Q92769, Q9UBB5","GO:0006265;GO:0045892;GO:0003677;GO:0051276;GO:0005634;GO:0016575",10444591,1.016,-1.061,-1.151,-1.367,-1.671,0.027
66,"TRAP complex",8,1,12.5,"O60244, O75448, P10827, Q15648, Q93074, Q9NVC6, Q9Y2W1, Q9Y2X0","GO:0045893;GO:0030545;GO:0009755;GO:0023052;GO:0005634",8710870,NA,NA,NA,NA,NA,NA
72,"R/M complex (RAD50-MRE11 complex)",2,2,100,"P49959, Q92878","GO:0006281;GO:0003677;GO:0006974;GO:0051276;GO:0005634",9651580,-1.113,1.157,1.077,-1.149,-1.311,0.041
74,"HOMER3-IP3R-TRPC1 complex",3,1,33.33,"P48995, Q14573, Q9NSC5","GO:0008324;GO:0006812;GO:0005216;GO:0023052;GO:0005886",14505576,NA,NA,NA,NA,NA,NA
81,"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)",4,3,75,"P62877, P63208, Q14999, Q8N3Y1","None",12481031,-18.44,-1.309,-22.164,-22.271,-22.75,1
86,"NUMAC complex (nucleosomal methylation activator complex)",10,8,80,"O14497, P51532, P60709, Q12824, Q86X55, Q8TAQ2, Q92922, Q969G3, Q96GM5, Q96KG9","GO:0006265;GO:0045893;GO:0018126;GO:0006479;GO:0003677;GO:0009755;GO:0023052;GO:0051276;GO:0005634",14729568,-1.109,-1.238,-1.326,-3.381,-6.3,0.23
87,"Nup 107-160 subcomplex",9,9,100,"P52948, P55735, P57740, Q12769, Q8NFH3, Q8NFH4, Q8WUM0, Q96EE3, Q9BW27","GO:0015031;GO:0051169;GO:0000775",15146057,1.004,1.061,1.013,-1.112,-1.318,0.05
92,"CD28-transactivation complex",2,1,50,"P10747, P19338","GO:0006352;GO:2001141;GO:0006355;GO:0005634",12324461,NA,NA,NA,NA,NA,NA
93,"Anaphase-promoting complex",8,3,37.5,"P30260, Q13042, Q9H1A4, Q9UJX2, Q9UJX3, Q9UJX4, Q9UJX5, Q9UJX6","GO:0000278;GO:0051726;GO:0016567;GO:0005515;GO:0005634",9469815,-1.139,-1.261,-6.255,-1.398,-6.65,0.376
95,"Ku antigen-NARG1 complex",3,3,100,"P12956, P13010, Q9BXJ9","GO:2001141;GO:0006355;GO:0003677",12145306,1.007,1.095,1.038,-1.052,-1.208,0.209
96,"Anaphase-promoting complex",9,3,33.33,"P30260, Q13042, Q9H1A4, Q9UJX2, Q9UJX3, Q9UJX4, Q9UJX5, Q9UJX6, Q9UM13","GO:0000278;GO:0051726;GO:0016567;GO:0005515;GO:0005634;GO:0006511",10318877,-1.139,-1.261,-6.255,-1.398,-6.65,0.376
100,"hNURF complex",4,2,50,"P28370, Q09028, Q12830, Q16576","GO:0006265;GO:2001141;GO:0006355;GO:0022008;GO:0048699;GO:0051276;GO:0030182;GO:0005634",14609955,1.041,-1.001,-1.136,-1.371,-1.719,0.046
103,"RNA polymerase II holoenzyme complex",24,14,58.33,"O15514, P13984, P18074, P19387, P19388, P19447, P20226, P24928, P29083, P29084, P30876, P32780, P35269, P36954, P52434, P52435, P53803, P61218, P62487, P62875, Q00403, Q13888, Q13889, Q92759","GO:0006351;GO:0003677;GO:0005634",9305922,-1.496,-1.076,-1.631,-2.319,-2.808,0.045
104,"RNA polymerase II core complex",12,8,66.67,"O15514, P19387, P19388, P24928, P30876, P36954, P52434, P52435, P53803, P61218, P62487, P62875","GO:0006351;GO:0003677;GO:0005634",9852112,-2.877,-1.136,-2.896,-3.261,-3.436,0.484
107,"TFIIH transcription factor complex",9,1,11.11,"P18074, P19447, P32780, P50613, P51946, P51948, Q13888, Q13889, Q92759","GO:0006281;GO:0007049;GO:0006355;GO:0005634",9852112,NA,NA,NA,NA,NA,NA
112,"Prefoldin complex",6,6,100,"O15212, O60925, P61758, Q99471, Q9NQP4, Q9UHV9","GO:0050821;GO:0006457;GO:0007010;GO:0030036;GO:0016272",12456645,-1.027,-1.233,-1.154,-1.056,-1.006,0.163
115,"Polycomb repressive complex 1 (PRC1, hPRC-H)",12,2,16.67,"O00257, O60264, P0DMV8, P35226, P78364, Q06587, Q14781, Q8IXK0, Q8NDX5, Q96GD3, Q99496, Q9HC52","GO:0006265;GO:0045892;GO:0032774;GO:0018126;GO:0006479;GO:0051276;GO:0005634",12167701,-1.008,1.015,-1.142,-1.528,-1.684,0.159
116,"Polycomb repressive complex 1 (PRC1, hPRC-H)",13,3,23.08,"O00257, O60264, P0DMV8, P25490, P35226, P78364, Q06587, Q14781, Q8IXK0, Q8NDX5, Q96GD3, Q99496, Q9HC52","GO:0006265;GO:0045892;GO:0032774;GO:0018126;GO:0006479;GO:0051276;GO:0005634",12167701,-1.035,1.055,-1.068,-1.426,-1.587,0.122
117,"GPR56-CD81-Galpha(q/11)-Gbeta complex",5,4,80,"P29992, P50148, P60033, P62873, Q9Y653","GO:0007186",15004227,1.73,2.411,1.281,1.983,2.034,0.546
123,"Rnase/Mrp complex",10,3,30,"O75817, O75818, O95059, O95707, P78345, P78346, Q969H6, Q99575, Q9BUL9, Q9H633","GO:0006401;GO:0006364;GO:0003723;GO:0005634",15096576,-1.146,1.058,-1.021,-1.261,-1.208,0.798
126,"CCT complex (chaperonin containing TCP1 complex)",8,8,100,"P17987, P40227, P48643, P49368, P50990, P50991, P78371, Q99832","GO:0050821;GO:0006457;GO:0005524;GO:0005737",9250675,-1.029,-1.198,-1.13,-1.099,-1.114,0.04
142,"CD147-gamma-secretase complex",5,2,40,"P35613, P49768, Q92542, Q96BI3, Q9NZ42","GO:0016485;GO:0023052;GO:0005886;GO:0005794",15890777,1.137,1.116,-1.025,-1.193,-1.291,0.584
143,"APP-APBB1-LRP1 complex",3,2,66.67,"O00213, P05067, Q07954","GO:0016485",15115822,1.109,1.398,1.182,1.133,1.21,1
144,"Gamma-BAR-AP1 complex",9,4,44.44,"O43747, O75843, P56377, P61966, Q10567, Q63HQ0, Q96PC3, Q9BXS5, Q9Y6Q5","GO:0006886;GO:0006605;GO:0015031;GO:0016192;GO:0006900;GO:0016050;GO:0006897;GO:0030133",15775984,-1.032,-1.102,-1.213,-1.274,-2.405,0.198
149,"PBAF complex (Polybromo- and BAF containing complex)",10,6,60,"O96019, P51532, P60709, Q12824, Q68CP9, Q86U86, Q8TAQ2, Q92922, Q969G3, Q96GM5","GO:0006338;GO:0005634;GO:0003677;GO:0006355",11078522,-1.101,-1.195,-1.326,-1.617,-2.963,0.04
152,"TFIIE complex",2,2,100,"P29083, P29084","GO:0006352;GO:2001141;GO:0006355;GO:0005634",9836642,1.006,1.132,-1.147,-1.624,-30.483,0.571
153,"TFIIF complex (transcription factor IIF)",2,2,100,"P13984, P35269","GO:0006352;GO:0000287;GO:0005524;GO:0005634",9836642,-1.069,-1.202,-1.374,-1.666,-1.874,0.159
156,"Retrotranslocation complex",3,2,66.67,"P57678, Q86TM6, Q9BUN8","GO:0015031;GO:0140318",16186510,1.006,-1.34,-1.298,-1.406,-1.376,0.339
159,"Condensin I-PARP-1-XRCC1 complex",7,6,85.71,"O95347, P09874, P18887, Q15003, Q15021, Q9BPX3, Q9NTJ3","GO:0006281;GO:0006974;GO:0005634",16543152,-1.189,-1.712,-2.75,-9.897,-8.74,0.157
160,"Condensin II",5,1,20,"O95347, P42695, Q6IBW4, Q86XI2, Q9NTJ3","GO:0000278;GO:0030261;GO:0051276;GO:0005634",14532007,NA,NA,NA,NA,NA,NA
162,"COG complex",8,5,62.5,"P83436, Q14746, Q8WTW3, Q96JB2, Q96MW5, Q9H9E3, Q9UP83, Q9Y2V7","GO:0006486;GO:0007030;GO:0005794;GO:0017119;GO:0016192",11980916,-5.298,-4.401,-1.022,1.184,1.201,0.526
164,"Cohesin-SA1 complex",4,3,75,"O60216, Q14683, Q8WVM7, Q9UQE7","GO:0000279;GO:0007067;GO:0007059;GO:0003677;GO:0051276;GO:0005694",10931856,-1.035,1.107,-1.008,-1.338,-1.505,0.076
166,"Cohesin-SA2 complex",4,4,100,"O60216, Q14683, Q8N3U4, Q9UQE7","GO:0000279;GO:0007067;GO:0007059;GO:0003677;GO:0005694",11250156,-1.056,1.064,-1.071,-1.434,-1.623,0.066
168,"Protein-sorting ternary complex (EPS15, HGS, STAM2)",3,2,66.67,"O14964, O75886, P42566","GO:0006886;GO:0006605;GO:0015031",12551915,-1.067,-1.154,-1.263,-1.345,-1.237,0.582
169,"Protein-sorting ternary complex (EPS15, HGS, STAM1)",3,3,100,"O14964, P42566, Q92783","GO:0006886;GO:0006605;GO:0015031",12551915,-1.047,-1.136,-1.204,-1.256,-1.16,0.645
173,"MRN complex",3,3,100,"O60934, P49959, Q92878","GO:0006308;GO:0006281;GO:0000075;GO:0003677;GO:0006974;GO:0005634;GO:0004519;GO:0004527",9705271,-1.142,1.126,1.068,-3.391,-1.317,0.451
178,"Respiratory chain complex I (holoenzyme), mitochondrial",44,28,63.64,"O00217, O00483, O14561, O15239, O43181, O43674, O43676, O43677, O43678, O43920, O75251, O75306, O75380, O75438, O75489, O95139, O95167, O95168, O95169, O95178, O95182, O95298, O95299, O96000, P03886, P03891, P03897, P03901, P03915, P03923, P17568, P19404, P28331, P49821, P51970, P56181, P56556, Q16718, Q16795, Q86Y39, Q9NX14, Q9P0J0, Q9UI09, Q9Y6M9","GO:0006818;GO:0022904;GO:0005743;GO:0006119;GO:0009060",12611891,-1.21,1.322,1.39,1.351,1.392,0.032
180,"PNUTS-PPP1CA complex",2,2,100,"P62136, Q96QC0","GO:0004857",12574161,-1.055,-1.118,-1.103,-1.117,-22.96,0.922
181,"26S proteasome",22,22,100,"O14818, P17980, P20618, P25786, P25787, P25788, P25789, P28066, P28070, P28072, P28074, P35998, P43686, P49720, P49721, P55036, P60900, P62191, P62195, P62333, Q99436, Q9UNM6","GO:0043161;GO:0006511;GO:0005515;GO:0006950;GO:0005737;GO:0005634",11812135,-1.041,-1.01,1.003,1.049,1.105,0.05
186,"Wave-2 complex",5,5,100,"Q7L576, Q8IZP0, Q8WUW1, Q9Y2A7, Q9Y6W5","GO:0007264;GO:0016477;GO:0030036;GO:0015629",15070726,-1.046,-1.11,-1.106,-1.224,-1.235,0.144
189,"BAF complex",13,7,53.85,"O14497, O94805, O96019, P51531, P51532, P60709, P63261, Q12824, Q8NFD5, Q8TAQ2, Q92922, Q969G3, Q96GM5","GO:0006265;GO:0045893;GO:0003677;GO:0051276;GO:0005634",11078522,-1.105,-1.211,-1.338,-3.161,-5.632,0.17
190,"Mitotic checkpoint complex",4,1,25,"O43684, O60566, Q12834, Q13257","GO:0000075",11535616,NA,NA,NA,NA,NA,NA
192,"PA28-20S proteasome",16,16,100,"O14818, P20618, P25786, P25787, P25788, P25789, P28066, P28070, P28072, P28074, P49720, P49721, P60900, Q06323, Q99436, Q9UL46","GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634",11676531,-1.039,1.024,1.026,1.064,1.133,0.07
193,"PA700-20S-PA28 complex",36,36,100,"O00231, O00232, O00233, O00487, O14818, O43242, O75832, P17980, P20618, P25786, P25787, P25788, P25789, P28066, P28070, P28072, P28074, P35998, P43686, P48556, P49720, P49721, P51665, P55036, P60900, P62191, P62195, P62333, Q06323, Q13200, Q15008, Q16401, Q99436, Q99460, Q9UL46, Q9UNM6","GO:0043161;GO:0005515;GO:0016504",11676531,-1.013,1.016,1.035,1.08,1.131,0.068
194,"PA28gamma-20S proteasome",15,15,100,"O14818, P20618, P25786, P25787, P25788, P25789, P28066, P28070, P28072, P28074, P49720, P49721, P60900, P61289, Q99436","GO:0016485;GO:0043161;GO:0006511;GO:0006950;GO:0005737;GO:0005634",7811265,-1.065,-1.008,-1.012,1.026,1.096,0.066
205,"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)",5,4,80,"P40337, P62877, Q13617, Q15369, Q15370","GO:0016567;GO:0005515;GO:0006511",10535940,-1.086,-1.131,-1.27,-1.239,-1.278,0.763
207,"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)",5,3,60,"Q15369, Q15370, Q93034, Q96Q27, Q9UBF6","GO:0016567;GO:0005515;GO:0006511",16325183,-1.087,-1.133,-1.272,-1.241,-1.281,0.105
208,"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)",5,3,60,"Q15369, Q15370, Q93034, Q9UBF6, Q9Y576","GO:0016567;GO:0005515;GO:0006511",16325183,-1.087,-1.133,-1.272,-1.241,-1.281,0.105
209,"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)",5,3,60,"Q15369, Q15370, Q93034, Q9NWX5, Q9UBF6","GO:0016567;GO:0005515;GO:0006511",16325183,-1.087,-1.133,-1.272,-1.241,-1.281,0.105
210,"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)",5,3,60,"Q15369, Q15370, Q93034, Q9H672, Q9UBF6","GO:0016567;GO:0005515;GO:0006511",16325183,-1.087,-1.133,-1.272,-1.241,-1.281,0.105
211,"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)",5,3,60,"Q15369, Q15370, Q8WXK4, Q93034, Q9UBF6","GO:0016567;GO:0005515;GO:0006511",16325183,-1.087,-1.133,-1.272,-1.241,-1.281,0.105
213,"DNA ligase IV-XRCC1 complex",2,1,50,"P18887, P49917","GO:0006281;GO:0005634",7760816,NA,NA,NA,NA,NA,NA
214,"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)",5,4,80,"P62877, Q15369, Q15370, Q93034, Q9Y6I7","GO:0016567;GO:0043161;GO:0006511;GO:0005515;GO:0007224;GO:0005783",15965468,-1.087,-1.133,-1.272,-1.241,-1.281,0.763
219,"CAND1-CUL1-RBX1 complex",3,3,100,"P62877, Q13616, Q86VP6","GO:0005515;GO:0010265;GO:0051444",15537541,1.022,1.142,1.153,1.001,1.02,0.995
220,"ARF-Mule complex",3,2,66.67,"P06748, Q7Z6Z7, Q8N726","GO:0005515;GO:0005634",15989956,-1.069,1.046,1.078,1.047,1.023,1
221,"CAND1-CUL2-RBX1 complex",3,3,100,"P62877, Q13617, Q86VP6","GO:0010265;GO:0051444",12609982,1.076,1.224,1.194,1.08,1.133,0.854
222,"CAND1-CUL3-RBX1 complex",3,3,100,"P62877, Q13618, Q86VP6","GO:0010265;GO:0051444",12609982,1.111,1.218,1.276,1.221,1.237,0.779
223,"CAND1-CUL4A-RBX1 complex",3,3,100,"P62877, Q13619, Q86VP6","GO:0010265;GO:0051444",12609982,-19.584,-1.435,-23.843,-23.324,-24.286,1
224,"CAND1-CUL4B-RBX1 complex",3,3,100,"P62877, Q13620, Q86VP6","GO:0010265;GO:0051444",12609982,-23.138,-1.428,-29.015,-29.408,-30.731,1
226,"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)",3,2,66.67,"P63208, Q13309, Q13616","GO:0016567;GO:0005515;GO:0006511",12609982,1.113,1.056,1.079,-1.115,-1.104,0.872
227,"Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)",3,2,66.67,"P63208, Q13616, Q9Y297","GO:0016567;GO:0043161;GO:0045087;GO:0051607;GO:0043123;GO:0051092;GO:0019048",9990852,1.113,1.056,1.079,-1.115,-1.104,0.872
234,"HuCHRAC complex",4,1,25,"O60264, Q9NRF9, Q9NRG0, Q9NRL2","GO:0006265;GO:0005515;GO:0003677;GO:0005524;GO:0005634",10880450,NA,NA,NA,NA,NA,NA
236,"WICH complex",2,2,100,"O60264, Q9UIG0","GO:0006265;GO:0005515;GO:0003677;GO:0005524;GO:0005694",11980720,1.013,-1.066,-1.262,-1.713,-1.875,0.065
238,"SWI-SNF chromatin remodeling-related-BRCA1 complex",10,6,60,"O14497, O96019, P38398, P51531, P51532, Q12824, Q8TAQ2, Q92922, Q92925, Q969G3","GO:0006265;GO:2001141;GO:0006355;GO:0051276;GO:0005634",10943845,-1.108,-1.215,-1.35,-3.392,-6.412,0.169
243,"RalBP1-CDC2-CCNB1 complex",3,1,33.33,"P06493, P14635, Q15311","GO:0000278;GO:0006468;GO:0005634",12775724,NA,NA,NA,NA,NA,NA
244,"BRAFT complex",13,3,23.08,"O15287, O15360, P15927, P27694, P35244, P40692, P54132, Q00597, Q13472, Q9H9A7, Q9HB96, Q9NPI8, Q9NW38","GO:0051276;GO:0006281;GO:0006974;GO:0005634",12724401,-1.011,1.03,-1.076,-1.341,-1.51,0.243
247,"RalBP1-CCNB1-AP2A-NUMB-EPN1 complex",5,4,80,"O95782, P14635, P49757, Q15311, Q9Y6I3","GO:0000278;GO:0006897;GO:0005634",12775724,1.004,-1.14,-1.665,-1.828,-1.719,0.188
248,"BRAFT complex",11,3,27.27,"O15287, O15360, P15927, P27694, P35244, P54132, Q00597, Q13472, Q9HB96, Q9NPI8, Q9NW38","GO:0051276;GO:0006281;GO:0016567;GO:0006974;GO:0005634",12973351,-1.011,1.03,-1.076,-1.341,-1.51,0.243
266,"RAD17-RFC complex",5,3,60,"O75943, P35249, P35250, P40937, P40938","GO:0000075;GO:0003677;GO:0005524;GO:0006974;GO:0005634",11572977,-1.21,-1.469,-2.023,-2.591,-9.126,0.041
274,"9-1-1-RAD17-RFC complex",8,3,37.5,"O60671, O60921, O75943, P35249, P35250, P40937, P40938, Q99638","GO:0000077;GO:0003677;GO:0006974",12578958,-1.21,-1.469,-2.023,-2.591,-9.126,0.041
278,"RFC core complex",3,2,66.67,"P35249, P35250, P40937","GO:0006260;GO:0003677;GO:0005524;GO:0005634",8692848,-1.212,-1.499,-2.096,-2.804,-3.695,0.039
279,"RFC complex",5,4,80,"P35249, P35250, P35251, P40937, P40938","GO:0006260;GO:0003677;GO:0005524;GO:0005634;GO:0000075;GO:0006281",1670772,-1.199,-1.454,-1.957,-5.283,-15.333,0.037
280,"HMGB1-HMGB2-HSC70-ERP60-GAPDH complex",5,5,100,"P04406, P09429, P11142, P26583, P30101","GO:0006281;GO:0003677;GO:0006974;GO:0005634",12517784,1.277,1.441,1.22,-1.013,-1.158,0.498
282,"SNF2h-cohesin-NuRD complex",16,12,75,"O60216, O60264, O94776, O95983, Q09028, Q12873, Q13330, Q13547, Q14683, Q16576, Q8N3U4, Q8WVM7, Q92769, Q9NRL2, Q9UBB5, Q9UQE7","GO:0006265;GO:0003677;GO:0051276;GO:0005694",12198550,1.004,1.017,-1.08,-1.366,-1.644,0.043
283,"SIN3 complex",7,4,57.14,"O00422, O75446, Q09028, Q13547, Q16576, Q92769, Q96ST3","GO:0006265;GO:0045892;GO:0006473;GO:0006476;GO:0051276",9651585,1.033,-1.017,-1.092,-1.329,-1.642,0.485
285,"PCNA-MLH1-PMS1 complex",3,1,33.33,"P12004, P40692, P54277","GO:0006260;GO:0006281;GO:0005634",16303135,NA,NA,NA,NA,NA,NA
286,"PCNA-MSH2-MSH6 complex",3,2,66.67,"P12004, P43246, P52701","GO:0006260;GO:0006281;GO:0005634",16303135,-1.163,-1.457,-2.122,-3.21,-4.662,0.023
290,"MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex",4,2,50,"P12004, P40692, P43246, P54278","GO:0006281;GO:0003677;GO:0006974;GO:0005634",9469823,-1.163,-1.457,-2.122,-3.21,-4.662,0.023
291,"MSH2-MLH1-PMS2 DNA-repair initiation complex",3,1,33.33,"P40692, P43246, P54278","GO:0006281;GO:0003677;GO:0005634",9469823,NA,NA,NA,NA,NA,NA
297,"PCNA-DNA polymerase delta complex",5,1,20,"P12004, P28340, P49005, Q15054, Q9HCU8","GO:0006260;GO:0006281;GO:0005634",11328591,NA,NA,NA,NA,NA,NA
298,"VEGF transcriptional complex",4,2,50,"P27695, P40763, Q16665, Q99966","GO:2001141;GO:0006355;GO:0005634",15735682,1.055,1.373,1.552,1.586,1.572,0.336
300,"PC2 complex",12,1,8.33,"O43513, O60244, O75448, O75586, Q13503, Q6P2C8, Q9BTT4, Q9H944, Q9NVC6, Q9Y2W1, Q9Y2X0, Q9Y3C7","GO:0045893;GO:0005515;GO:0005634",10882111,NA,NA,NA,NA,NA,NA
301,"SMCC complex",17,1,5.88,"O43513, O60244, O75448, O75586, P24863, P49336, Q13503, Q15648, Q6P2C8, Q93074, Q9BTT4, Q9H944, Q9NVC6, Q9UHV7, Q9Y2W1, Q9Y2X0, Q9Y3C7","GO:2001141;GO:0006355;GO:0005515;GO:0005634",10882111,NA,NA,NA,NA,NA,NA
302,"INO80 chromatin remodeling complex",13,3,23.08,"O96019, P15923, Q53TQ3, Q6P4R8, Q6PI98, Q8NBZ0, Q96EZ8, Q9C086, Q9H981, Q9H9F9, Q9ULG1, Q9Y230, Q9Y265","GO:0006265;GO:0003677;GO:0005524;GO:0051276;GO:0005694",16230350,-1.011,-1.008,-1.109,-1.27,-1.363,0.029
304,"SRCAP complex",10,3,30,"O43257, O95619, O96019, P0C0S5, Q15906, Q6ZRS2, Q96CJ1, Q9GZN1, Q9Y230, Q9Y265","GO:0006338;GO:0005634",15647280,-1.011,-1.008,-1.109,-1.27,-1.363,0.029
305,"40S ribosomal subunit, cytoplasmic",33,33,100,"P08708, P08865, P15880, P22090, P23396, P25398, P39019, P42677, P46781, P46782, P46783, P60866, P61247, P62081, P62241, P62244, P62249, P62263, P62266, P62269, P62273, P62277, P62280, P62701, P62753, P62841, P62847, P62851, P62854, P62857, P62861, P62979, P63220","GO:0006412;GO:0005737",14681386,1.032,-1.175,-1.179,-1.214,-1.296,0.014
306,"Ribosome, cytoplasmic",80,74,92.5,"P05386, P05387, P05388, P08708, P08865, P15880, P18077, P18124, P18621, P22090, P23396, P25398, P26373, P27635, P30050, P32969, P35268, P36578, P39019, P39023, P40429, P42677, P42766, P46776, P46777, P46778, P46779, P46781, P46782, P46783, P47914, P49207, P50914, P60866, P61247, P61254, P61313, P61353, P61513, P61927, P62081, P62241, P62244, P62249, P62263, P62266, P62269, P62273, P62277, P62280, P62424, P62701, P62750, P62753, P62829, P62841, P62847, P62851, P62854, P62857, P62861, P62888, P62891, P62899, P62906, P62910, P62913, P62917, P62945, P62979, P62987, P63173, P63220, P83731, P83881, P84098, Q02543, Q02878, Q07020, Q9Y3U8","GO:0006412;GO:0005737",14681386,1.043,-1.174,-1.155,-1.164,-1.245,0.062
308,"60S ribosomal subunit, cytoplasmic",47,41,87.23,"P05386, P05387, P05388, P18077, P18124, P18621, P26373, P27635, P30050, P32969, P35268, P36578, P39023, P40429, P42766, P46776, P46777, P46778, P46779, P47914, P49207, P50914, P61254, P61313, P61353, P61513, P61927, P62424, P62750, P62829, P62888, P62891, P62899, P62906, P62910, P62913, P62917, P62945, P62987, P63173, P83731, P83881, P84098, Q02543, Q02878, Q07020, Q9Y3U8","GO:0006412;GO:0005737",14681386,1.048,-1.175,-1.139,-1.131,-1.211,0.106
310,"Cell cycle kinase complex CDC2",6,1,16.67,"O95067, P06493, P12004, P14635, P24385, P38936","GO:0000278",7903056,NA,NA,NA,NA,NA,NA
311,"Cell cycle kinase complex CDK2",4,1,25,"P12004, P24385, P24941, P38936","GO:0000278",7903056,NA,NA,NA,NA,NA,NA
312,"Cell cycle kinase complex CDK4",4,2,50,"P11802, P12004, P24385, P38936","GO:0000278",7903056,-1.145,-1.397,-1.933,-2.715,-3.846,0.022
